symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2018-03-27 00:00:00+00:00,5.57,5.65,5.5,5.64,116105,5.2405070423,5.3157746479,5.1746478873,5.3063661972,116105,0.0,1.0
TCS,2018-03-28 00:00:00+00:00,5.38,5.64,5.335,5.59,157959,5.0617464789,5.3063661972,5.0194084507,5.2593239437,157959,0.0,1.0
TCS,2018-03-29 00:00:00+00:00,5.44,5.7,5.33,5.46,966034,5.1181971831,5.3628169014,5.0147042254,5.1370140845,966034,0.0,1.0
TCS,2018-04-02 00:00:00+00:00,5.52,5.61,5.33,5.5,161709,5.1934647887,5.2781408451,5.0147042254,5.1746478873,161709,0.0,1.0
TCS,2018-04-03 00:00:00+00:00,5.67,5.75,5.56,5.65,211842,5.3345915493,5.4098591549,5.2310985915,5.3157746479,211842,0.0,1.0
TCS,2018-04-04 00:00:00+00:00,5.75,5.7763,5.5598,5.58,137403,5.4098591549,5.4346033803,5.2309104225,5.249915493,137403,0.0,1.0
TCS,2018-04-05 00:00:00+00:00,5.83,5.88,5.77,5.79,82400,5.4851267606,5.5321690141,5.4286760563,5.4474929577,82400,0.0,1.0
TCS,2018-04-06 00:00:00+00:00,5.78,5.88,5.71,5.78,94092,5.438084507,5.5321690141,5.3722253521,5.438084507,94092,0.0,1.0
TCS,2018-04-09 00:00:00+00:00,5.59,5.84,5.57,5.84,135967,5.2593239437,5.4945352113,5.2405070423,5.4945352113,135967,0.0,1.0
TCS,2018-04-10 00:00:00+00:00,5.76,5.85,5.61,5.67,113880,5.4192676056,5.503943662,5.2781408451,5.3345915493,113880,0.0,1.0
TCS,2018-04-11 00:00:00+00:00,5.75,5.8254,5.71,5.72,53928,5.4098591549,5.4807988732,5.3722253521,5.3816338028,53928,0.0,1.0
TCS,2018-04-12 00:00:00+00:00,5.7,5.85,5.68,5.75,83824,5.3628169014,5.503943662,5.344,5.4098591549,83824,0.0,1.0
TCS,2018-04-13 00:00:00+00:00,5.64,5.79,5.6002,5.74,52140,5.3063661972,5.4474929577,5.2689205634,5.4004507042,52140,0.0,1.0
TCS,2018-04-16 00:00:00+00:00,5.77,5.85,5.591,5.65,95293,5.4286760563,5.503943662,5.2602647887,5.3157746479,95293,0.0,1.0
TCS,2018-04-17 00:00:00+00:00,5.81,5.94,5.8,5.88,96643,5.4663098592,5.5886197183,5.4569014085,5.5321690141,96643,0.0,1.0
